time_hrs,c_top,c_mid,c_bot,mid_quarter,mid_corner
25.1667,71.2760,95.8460,89.0420,95.8460,89.5640
25.2500,71.2580,95.9360,89.0960,95.9360,89.5820
25.3333,71.2580,96.0080,89.1320,96.0080,89.6000
25.4167,71.2400,96.0980,89.1680,96.0980,89.6000
25.5000,71.2400,96.1700,89.2220,96.1700,89.6180
25.5833,71.2400,96.2600,89.2580,96.2600,89.6360
25.6667,71.2400,96.3320,89.2940,96.3320,89.6540
25.7500,71.2400,96.4220,89.3480,96.4220,89.6720
25.8333,71.2220,96.4940,89.3840,96.4940,89.6720
25.9167,71.2220,96.5660,89.4380,96.5660,89.6900
26.0000,71.2220,96.6560,89.4740,96.6560,89.7080
26.0833,71.2400,96.7280,89.5100,96.7280,89.7260
26.1667,71.2400,96.8180,89.5640,96.8180,89.7620
26.2500,71.2400,96.8900,89.6000,96.8900,89.7800
26.3333,71.2400,96.9800,89.6360,96.9800,89.7980
26.4167,71.2580,97.0520,89.6900,97.0520,89.8340
26.5000,71.2580,97.1240,89.7260,97.1240,89.8520
26.5833,71.2760,97.2140,89.7620,97.2140,89.8880
26.6667,71.2940,97.2860,89.8160,97.2860,89.9240
26.7500,71.3120,97.3760,89.8520,97.3760,89.9600
26.8333,71.3300,97.4480,89.8880,97.4480,89.9960
26.9167,71.3480,97.5200,89.9240,97.5200,90.0320
27.0000,71.3660,97.6100,89.9780,97.6100,90.0680
27.0833,71.3840,97.6820,90.0140,97.6820,90.1220
27.1667,71.4020,97.7540,90.0500,97.7540,90.1580
27.2500,71.4380,97.8440,90.1040,97.8440,90.1940
27.3333,71.4560,97.9160,90.1400,97.9160,90.2300
27.4167,71.4920,97.9880,90.1760,97.9880,90.2660
27.5000,71.5280,98.0780,90.2120,98.0780,90.3200
27.5833,71.5640,98.1500,90.2660,98.1500,90.3560
27.6667,71.6000,98.2220,90.3020,98.2220,90.3920
27.7500,71.6360,98.3120,90.3380,98.3120,90.4280
27.8333,71.6900,98.3840,90.3740,98.3840,90.4640
27.9167,71.7260,98.4560,90.4280,98.4560,90.5000
28.0000,71.7800,98.5460,90.4640,98.5460,90.5360
28.0833,71.8160,98.6180,90.5000,98.6180,90.5720
28.1667,71.8700,98.6900,90.5360,98.6900,90.6080
28.2500,71.9240,98.7800,90.5720,98.7800,90.6440
28.3333,71.9780,98.8520,90.6260,98.8520,90.6800
28.4167,72.0320,98.9240,90.6620,98.9240,90.7160
28.5000,72.0860,98.9960,90.6980,98.9960,90.7520
28.5833,72.1400,99.0860,90.7340,99.0860,90.7880
28.6667,72.1940,99.1580,90.7700,99.1580,90.8240
28.7500,72.2660,99.2300,90.8240,99.2300,90.8600
28.8333,72.3200,99.3020,90.8600,99.3020,90.8960
28.9167,72.3920,99.3920,90.8960,99.3920,90.9320
29.0000,72.4460,99.4640,90.9320,99.4640,90.9680
29.0833,72.5180,99.5360,90.9680,99.5360,91.0040
29.1667,72.5900,99.6080,91.0040,99.6080,91.0400
29.2500,72.6620,99.6800,91.0400,99.6800,91.0760
29.3333,72.7340,99.7700,91.0940,99.7700,91.1120
29.4167,72.8060,99.8420,91.1300,99.8420,91.1480
29.5000,72.8780,99.9140,91.1660,99.9140,91.1840
29.5833,72.9500,99.9860,91.2020,99.9860,91.2200
29.6667,73.0220,100.0580,91.2380,100.0580,91.2560
29.7500,73.1120,100.1480,91.2740,100.1480,91.2920
29.8333,73.1840,100.2200,91.3100,100.2200,91.3280
29.9167,73.2740,100.2920,91.3460,100.2920,91.3640
30.0000,73.3640,100.3640,91.4000,100.3640,91.3820
30.0833,73.4360,100.4360,91.4360,100.4360,91.4180
30.1667,73.5260,100.5080,91.4720,100.5080,91.4540
30.2500,73.6160,100.5980,91.5080,100.5980,91.4900
30.3333,73.7060,100.6700,91.5440,100.6700,91.5260
30.4167,73.7780,100.7420,91.5800,100.7420,91.5440
30.5000,73.8680,100.8140,91.6160,100.8140,91.5800
30.5833,73.9580,100.8860,91.6520,100.8860,91.6160
